,year,name,firstname,lastname,position,heightinchestotal,weight,fortyyd,twentyss,threecone,vertical,broad,bench,round,college,pickround,picktotal,probowls,firstprobowl,yearstofirst,probowl_i,highpick_i
322,2014,Jared Abbrederis,Jared,Abbrederis,WR,73.0,195,4.5,4.08,6.8,30.5,117.0,4.0,6.0,Wisconsin,16.0,176.0,0.0,,,0,0
323,2014,Davante Adams,Davante,Adams,WR,73.0,212,4.56,4.3,6.82,39.5,123.0,14.0,2.0,Fresno St.,21.0,53.0,0.0,,,0,0
324,2014,Mo Alexander,Mo,Alexander,SS,73.0,220,4.54,4.51,7.05,38.0,123.0,,4.0,Utah St.,14.0,110.0,0.0,,,0,0
325,2014,Ricardo Allen,Ricardo,Allen,CB,69.0,187,4.61,4.15,,35.5,117.0,13.0,5.0,Purdue,19.0,147.0,0.0,,,0,0
326,2014,Jace Amaro,Jace,Amaro,TE,77.0,265,4.74,4.3,7.42,33.0,118.0,28.0,2.0,Texas Tech,17.0,49.0,0.0,,,0,0
327,2014,Antonio Andrews,Antonio,Andrews,RB,70.0,225,4.82,4.49,7.24,29.5,106.0,20.0,8.0,Western Kentucky,,,0.0,,,0,0
328,2014,Dri Archer,Dri,Archer,RB,68.0,173,4.26,4.06,6.86,38.0,122.0,20.0,4.0,Kent St.,1.0,97.0,0.0,,,0,0
329,2014,Matt Armstrong,Matt,Armstrong,C,74.0,302,5.36,,,,,,8.0,Grand Valley St.,,,0.0,,,0,0
330,2014,George Atkinson,George,Atkinson,RB,73.0,218,4.48,4.46,7.07,38.0,121.0,19.0,8.0,Notre Dame,,,0.0,,,0,0
331,2014,Jeremiah Attaochu,Jeremiah,Attaochu,OLB,75.0,252,,,,,,,2.0,Georgia Tech,18.0,50.0,0.0,,,0,0
332,2014,Dion Bailey,Dion,Bailey,SS,72.0,201,4.66,4.15,6.97,34.0,113.0,,8.0,USC,,,0.0,,,0,0
333,2014,Anthony Barr,Anthony,Barr,OLB,77.0,255,4.66,4.19,6.82,34.5,119.0,15.0,1.0,UCLA,9.0,9.0,0.0,,,0,1
334,2014,Lamin Barrow,Lamin,Barrow,OLB,73.0,237,4.64,4.35,7.24,35.0,123.0,22.0,5.0,LSU,28.0,156.0,0.0,,,0,0
335,2014,Odell Beckham,Odell,Beckham,WR,71.0,198,4.43,3.94,6.69,38.5,122.0,7.0,1.0,LSU,12.0,12.0,1.0,2014.0,1.0,1,1
336,2014,Deion Belue,Deion,Belue,CB,71.0,182,,,,,,11.0,8.0,Alabama,,,0.0,,,0,0
337,2014,Kelvin Benjamin,Kelvin,Benjamin,WR,77.0,240,4.61,4.39,7.33,32.5,119.0,13.0,1.0,Florida St.,28.0,28.0,0.0,,,0,0
338,2014,Bene  Benwikere,Bene ,Benwikere,CB,71.0,195,4.63,4.38,6.94,40.5,122.0,10.0,5.0,San Jose St.,20.0,148.0,0.0,,,0,0
339,2014,Nat Berhe,Nat,Berhe,SS,70.0,193,4.71,4.22,7.08,35.5,117.0,15.0,5.0,San Diego St.,24.0,152.0,0.0,,,0,0
340,2014,Kapri Bibbs,Kapri,Bibbs,RB,69.0,212,4.67,,,29.0,106.0,24.0,8.0,Colorado St.,,,0.0,,,0,0
