
Pos,,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Sk,Int,All-pro teams
,Devin Hester+%,NFC,CHI,25,1,16,0,0,0,0,0,0,7,-10,0,20,299,2,2,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
SS,Bob Sanders+%,AFC,IND,26,3,15,15,0,0,0,0,0,0,0,0,0,0,0,71,3.5,2,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
ROLB,DeMarcus Ware+%,NFC,DAL,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,60,14.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
RDE,Jared Allen+%,AFC,KAN,25,3,14,14,0,0,0,0,0,0,0,0,2,3,2,55,15.5,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
LG,Steve Hutchinson+%,NFC,MIN,30,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
RDT,Kevin Williams+%,NFC,MIN,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,30,3.0,2,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
QB,Tom Brady+%,AFC,NWE,30,7,16,16,398,578,4806,50,8,37,98,2,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
WR,Randy Moss+%,AFC,NWE,30,9,16,16,0,0,0,0,0,0,0,0,98,1493,23,1,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
LCB,Asante Samuel+%,AFC,NWE,26,4,16,14,0,0,0,0,0,0,0,0,0,0,0,41,0.0,6,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
RDT,Albert Haynesworth+%,AFC,TEN,26,5,13,12,0,0,0,0,0,0,0,0,0,0,0,32,6.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
LT,Walter Jones+%,NFC,SEA,33,10,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
RILB,Patrick Willis+%,NFC,SFO,22,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,135,4.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
RB,Adrian Peterson+%,NFC,MIN,22,Rook,14,9,0,0,0,0,0,238,1341,12,19,268,1,4,0.0,0,Associated Press: 2nd Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
LG,Logan Mankins+%,AFC,NWE,25,2,16,16,0,0,0,0,0,0,0,0,1,-9,0,0,0.0,0,Associated Press: 2nd Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
,Shane Lechler+%,AFC,OAK,31,7,16,0,0,0,0,0,0,1,-4,0,0,0,0,1,0.0,0,Associated Press: 2nd Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
WR,Terrell Owens+%,NFC,DAL,34,11,15,15,0,0,0,0,0,1,5,0,81,1355,15,3,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
TE,Jason Witten+%,NFC,DAL,25,4,16,16,0,0,0,0,0,0,0,0,96,1145,7,2,0.0,0,Associated Press: 1st Team All-NFL
Sporting News: 1st Team All-NFL
LT,Matt Light+%,AFC,NWE,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
,Rob Bironas+%,AFC,TEN,29,2,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,Associated Press: 1st Team All-NFL
Sporting News: 1st Team All-NFL
RB,Brian Westbrook+%,NFC,PHI,28,5,15,15,0,0,0,0,0,278,1333,7,90,771,5,3,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
FS,Ed Reed+%,AFC,BAL,29,5,16,16,0,0,0,0,0,0,0,0,0,0,0,29,0.0,7,Associated Press: 1st Team All-NFL
Sporting News: 1st Team All-NFL
RB,LaDainian Tomlinson+%,AFC,SDG,28,6,16,16,1,1,17,1,0,315,1474,15,60,475,3,2,0.0,0,Associated Press: 1st Team All-NFL
Sporting News: 1st Team All-NFL
LT,Jason Peters+%,AFC,BUF,25,3,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 2nd Team All-NFL
Sporting News: 1st Team All-NFL
,Josh Cribbs+%,AFC,CLE,24,2,16,2,0,0,0,0,0,9,61,0,3,37,0,17,0.0,0,Associated Press: 2nd Team All-NFL
Sporting News: 1st Team All-NFL
WR,Braylon Edwards+%,AFC,CLE,24,2,16,16,0,0,0,0,0,0,0,0,80,1289,16,6,0.0,0,Sporting News: 1st Team All-NFL
Associated Press: 2nd Team All-NFL
LCB,Champ Bailey+%,AFC,DEN,29,8,15,15,0,0,0,0,0,0,0,0,0,0,0,71,0.0,3,Associated Press: 2nd Team All-NFL
Pro Football Writers: 1st Team All-NFL
